"atbatnum","sv_id","des.x","type","start_speed","pitch_type","atbat","b","s","o","start_tfs","start_tfs_zulu","batter","pitcher","des.y","event","b1","b2","b3","score","home_team_runs","away_team_runs","rbi","atbattime100","atbattime","outsatstart","homescore","awayscore","pitchtime100","pitchtime","halfinning","inning","firstpitch","lastpitch","scorediff","situation","li","gamenum"
1,"141021_191203","Ball","B","92.8","FF","1","2","2",0,"000915","2014-10-22T00:09:15Z","453923","448306","Gregor Blanco singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,915,0.154166666666667,0,0,0,191203,19.2008333333333,"top","1",19.2008333333333,19.2313888888889,0,"0 FALSE FALSE FALSE 0 top 1",0.9,1
1,"141021_191228","Foul","S","92.3","FF","1","2","2",0,"000915","2014-10-22T00:09:15Z","453923","448306","Gregor Blanco singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,915,0.154166666666667,0,0,0,191228,19.2077777777778,"top","1",19.2008333333333,19.2313888888889,0,"0 FALSE FALSE FALSE 0 top 1",0.9,1
1,"141021_191255","Ball","B","93.9","FF","1","2","2",0,"000915","2014-10-22T00:09:15Z","453923","448306","Gregor Blanco singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,915,0.154166666666667,0,0,0,191255,19.2152777777778,"top","1",19.2008333333333,19.2313888888889,0,"0 FALSE FALSE FALSE 0 top 1",0.9,1
1,"141021_191317","Foul","S","93.0","FF","1","2","2",0,"000915","2014-10-22T00:09:15Z","453923","448306","Gregor Blanco singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,915,0.154166666666667,0,0,0,191317,19.2213888888889,"top","1",19.2008333333333,19.2313888888889,0,"0 FALSE FALSE FALSE 0 top 1",0.9,1
1,"141021_191353","In play, no out","X","86.2","CH","1","2","2",0,"000915","2014-10-22T00:09:15Z","453923","448306","Gregor Blanco singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,915,0.154166666666667,0,0,0,191353,19.2313888888889,"top","1",19.2008333333333,19.2313888888889,0,"0 FALSE FALSE FALSE 0 top 1",0.9,1
2,"141021_191512","Ball","B","92.3","FT","2","1","0",1,"001140","2014-10-22T00:11:40Z","605412","448306","Joe Panik flies out to center fielder Lorenzo Cain.   Gregor Blanco to 2nd.  ","Flyout",453923,NA,NA,NA,NA,NA,NA,1140,0.194444444444444,0,0,0,191512,19.2533333333333,"top","1",19.2533333333333,19.2688888888889,0,"0 TRUE FALSE FALSE 0 top 1",1.4,1
2,"141021_191608","In play, out(s)","X","92.7","FT","2","1","0",1,"001140","2014-10-22T00:11:40Z","605412","448306","Joe Panik flies out to center fielder Lorenzo Cain.   Gregor Blanco to 2nd.  ","Flyout",453923,NA,NA,NA,NA,NA,NA,1140,0.194444444444444,0,0,0,191608,19.2688888888889,"top","1",19.2533333333333,19.2688888888889,0,"0 TRUE FALSE FALSE 0 top 1",1.4,1
3,"141021_191659","Ball","B","92.4","FT","3","2","0",1,"001402","2014-10-22T00:14:02Z","457763","448306","Buster Posey singles on a line drive to left fielder Alex Gordon.   Gregor Blanco to 3rd.  ","Single",NA,453923,NA,NA,NA,NA,NA,1402,0.233888888888889,1,0,0,191659,19.2830555555556,"top","1",19.2830555555556,19.2958333333333,0,"0 FALSE TRUE FALSE 1 top 1",1.2,1
3,"141021_191721","Ball","B","88.0","FC","3","2","0",1,"001402","2014-10-22T00:14:02Z","457763","448306","Buster Posey singles on a line drive to left fielder Alex Gordon.   Gregor Blanco to 3rd.  ","Single",NA,453923,NA,NA,NA,NA,NA,1402,0.233888888888889,1,0,0,191721,19.2891666666667,"top","1",19.2830555555556,19.2958333333333,0,"0 FALSE TRUE FALSE 1 top 1",1.2,1
3,"141021_191745","In play, no out","X","91.1","FT","3","2","0",1,"001402","2014-10-22T00:14:02Z","457763","448306","Buster Posey singles on a line drive to left fielder Alex Gordon.   Gregor Blanco to 3rd.  ","Single",NA,453923,NA,NA,NA,NA,NA,1402,0.233888888888889,1,0,0,191745,19.2958333333333,"top","1",19.2830555555556,19.2958333333333,0,"0 FALSE TRUE FALSE 1 top 1",1.2,1
4,"141021_191836","Called Strike","S","94.0","FF","4","0","1",2,"001544","2014-10-22T00:15:44Z","467055","448306","Pablo Sandoval doubles (1) on a line drive to right fielder Nori Aoki.   Gregor Blanco scores.  Buster Posey out at home on the throw, right fielder Nori Aoki to second baseman Omar Infante to catcher Salvador Perez.  ","Double",457763,NA,453923,"T","0","1","1",1544,0.262222222222222,1,0,0,191836,19.31,"top","1",19.31,19.3166666666667,0,"0 TRUE FALSE TRUE 1 top 1",1.7,1
4,"141021_191900","In play, run(s)","X","81.2","KC","4","0","1",2,"001544","2014-10-22T00:15:44Z","467055","448306","Pablo Sandoval doubles (1) on a line drive to right fielder Nori Aoki.   Gregor Blanco scores.  Buster Posey out at home on the throw, right fielder Nori Aoki to second baseman Omar Infante to catcher Salvador Perez.  ","Double",457763,NA,453923,"T","0","1","1",1544,0.262222222222222,1,0,0,191900,19.3166666666667,"top","1",19.31,19.3166666666667,0,"0 TRUE FALSE TRUE 1 top 1",1.7,1
5,"141021_191959","Ball","B","94.3","FF","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,191959,19.3330555555556,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
5,"141021_192017","Ball In Dirt","B","86.8","CH","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,192017,19.3380555555556,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
5,"141021_192046","Called Strike","S","92.9","FT","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,192046,19.3461111111111,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
5,"141021_192111","Swinging Strike","S","93.7","FF","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,192111,19.3530555555556,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
5,"141021_192133","Ball","B","93.8","FF","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,192133,19.3591666666667,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
5,"141021_192155","Foul","S","94.3","FF","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,192155,19.3652777777778,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
5,"141021_192222","In play, run(s)","X","93.4","FF","5","3","2",2,"001710","2014-10-22T00:17:10Z","452254","448306","Hunter Pence homers (1) on a line drive to center field.   Pablo Sandoval scores.  ","Home Run",NA,467055,NA,"T","0","3","2",1710,0.286111111111111,2,0,1,192222,19.3727777777778,"top","1",19.3330555555556,19.3727777777778,-1,"-1 FALSE TRUE FALSE 2 top 1",1,1
6,"141021_192312","Called Strike","S","89.8","FC","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192312,19.3866666666667,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
6,"141021_192328","Ball","B","86.0","CH","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192328,19.3911111111111,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
6,"141021_192345","Ball","B","89.8","FC","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192345,19.3958333333333,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
6,"141021_192404","Foul","S","85.8","CH","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192404,19.4011111111111,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
6,"141021_192428","Ball","B","87.7","FC","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192428,19.4077777777778,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
6,"141021_192445","Foul","S","93.4","FF","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192445,19.4125,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
6,"141021_192505","In play, no out","X","86.9","CH","6","3","2",2,"002022","2014-10-22T00:20:22Z","474832","448306","Brandon Belt singles on a line drive to center fielder Lorenzo Cain.  ","Single",NA,NA,NA,NA,NA,NA,NA,2022,0.339444444444444,2,0,3,192505,19.4180555555556,"top","1",19.3866666666667,19.4180555555556,-3,"-3 FALSE FALSE FALSE 2 top 1",0.3,1
7,"141021_192607","Ball In Dirt","B","92.2","FT","7","3","3",3,"002315","2014-10-22T00:23:15Z","434604","448306","Michael Morse strikes out on a foul tip.  ","Strikeout",474832,NA,NA,NA,NA,NA,NA,2315,0.3875,2,0,3,192607,19.4352777777778,"top","1",19.4352777777778,19.4708333333333,-3,"-3 TRUE FALSE FALSE 2 top 1",0.5,1
7,"141021_192633","Called Strike","S","93.2","FF","7","3","3",3,"002315","2014-10-22T00:23:15Z","434604","448306","Michael Morse strikes out on a foul tip.  ","Strikeout",474832,NA,NA,NA,NA,NA,NA,2315,0.3875,2,0,3,192633,19.4425,"top","1",19.4352777777778,19.4708333333333,-3,"-3 TRUE FALSE FALSE 2 top 1",0.5,1
7,"141021_192654","Ball","B","91.9","FF","7","3","3",3,"002315","2014-10-22T00:23:15Z","434604","448306","Michael Morse strikes out on a foul tip.  ","Strikeout",474832,NA,NA,NA,NA,NA,NA,2315,0.3875,2,0,3,192654,19.4483333333333,"top","1",19.4352777777778,19.4708333333333,-3,"-3 TRUE FALSE FALSE 2 top 1",0.5,1
