"atbatnum","sv_id","des.x","type","start_speed","pitch_type","atbat","b","s","o","start_tfs","start_tfs_zulu","batter","pitcher","des.y","event","b1","b2","b3","score","home_team_runs","away_team_runs","rbi","atbattime100","atbattime","outsatstart","homescore","awayscore","pitchtime100","pitchtime","halfinning","inning","firstpitch","lastpitch","scorediff","situation","li","gamenum"
7,"141021_192720","Ball","B","91.0","FT","7","3","3",3,"002315","2014-10-22T00:23:15Z","434604","448306","Michael Morse strikes out on a foul tip.  ","Strikeout",474832,NA,NA,NA,NA,NA,NA,2315,0.3875,2,0,3,192720,19.4555555555556,"top","1",19.4352777777778,19.4708333333333,-3,"-3 TRUE FALSE FALSE 2 top 1",0.5,1
7,"141021_192749","Foul Tip","S","92.8","FT","7","3","3",3,"002315","2014-10-22T00:23:15Z","434604","448306","Michael Morse strikes out on a foul tip.  ","Strikeout",474832,NA,NA,NA,NA,NA,NA,2315,0.3875,2,0,3,192749,19.4636111111111,"top","1",19.4352777777778,19.4708333333333,-3,"-3 TRUE FALSE FALSE 2 top 1",0.5,1
7,"141021_192815","Foul Tip","S","86.2","CH","7","3","3",3,"002315","2014-10-22T00:23:15Z","434604","448306","Michael Morse strikes out on a foul tip.  ","Strikeout",474832,NA,NA,NA,NA,NA,NA,2315,0.3875,2,0,3,192815,19.4708333333333,"top","1",19.4352777777778,19.4708333333333,-3,"-3 TRUE FALSE FALSE 2 top 1",0.5,1
8,"141021_193206","Called Strike","S","92.0","FF","8","1","2",1,"002804","2014-10-22T00:28:04Z","444876","518516","Alcides Escobar grounds out, shortstop Brandon Crawford to first baseman Brandon Belt.  ","Groundout",NA,NA,NA,NA,NA,NA,NA,2804,0.467777777777778,0,0,3,193206,19.535,"bottom","1",19.535,19.5519444444444,-3,"-3 FALSE FALSE FALSE 0 bottom 1",0.8,1
8,"141021_193223","Foul","S","93.3","FF","8","1","2",1,"002804","2014-10-22T00:28:04Z","444876","518516","Alcides Escobar grounds out, shortstop Brandon Crawford to first baseman Brandon Belt.  ","Groundout",NA,NA,NA,NA,NA,NA,NA,2804,0.467777777777778,0,0,3,193223,19.5397222222222,"bottom","1",19.535,19.5519444444444,-3,"-3 FALSE FALSE FALSE 0 bottom 1",0.8,1
8,"141021_193247","Ball","B","92.9","FF","8","1","2",1,"002804","2014-10-22T00:28:04Z","444876","518516","Alcides Escobar grounds out, shortstop Brandon Crawford to first baseman Brandon Belt.  ","Groundout",NA,NA,NA,NA,NA,NA,NA,2804,0.467777777777778,0,0,3,193247,19.5463888888889,"bottom","1",19.535,19.5519444444444,-3,"-3 FALSE FALSE FALSE 0 bottom 1",0.8,1
8,"141021_193307","In play, out(s)","X","92.8","FF","8","1","2",1,"002804","2014-10-22T00:28:04Z","444876","518516","Alcides Escobar grounds out, shortstop Brandon Crawford to first baseman Brandon Belt.  ","Groundout",NA,NA,NA,NA,NA,NA,NA,2804,0.467777777777778,0,0,3,193307,19.5519444444444,"bottom","1",19.535,19.5519444444444,-3,"-3 FALSE FALSE FALSE 0 bottom 1",0.8,1
9,"141021_193353","Called Strike","S","93.6","FF","9","1","1",2,"003058","2014-10-22T00:30:58Z","493114","518516","Nori Aoki lines out to pitcher Madison Bumgarner.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,3058,0.516111111111111,1,0,3,193353,19.5647222222222,"bottom","1",19.5647222222222,19.5752777777778,-3,"-3 FALSE FALSE FALSE 1 bottom 1",0.6,1
9,"141021_193410","Ball","B","93.3","FF","9","1","1",2,"003058","2014-10-22T00:30:58Z","493114","518516","Nori Aoki lines out to pitcher Madison Bumgarner.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,3058,0.516111111111111,1,0,3,193410,19.5694444444444,"bottom","1",19.5647222222222,19.5752777777778,-3,"-3 FALSE FALSE FALSE 1 bottom 1",0.6,1
9,"141021_193431","In play, out(s)","X","87.0","SL","9","1","1",2,"003058","2014-10-22T00:30:58Z","493114","518516","Nori Aoki lines out to pitcher Madison Bumgarner.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,3058,0.516111111111111,1,0,3,193431,19.5752777777778,"bottom","1",19.5647222222222,19.5752777777778,-3,"-3 FALSE FALSE FALSE 1 bottom 1",0.6,1
10,"141021_193514","Foul","S","94.0","FT","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193514,19.5872222222222,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193541","Foul","S","93.0","FF","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193541,19.5947222222222,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193608","Ball","B","92.7","FF","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193608,19.6022222222222,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193631","Ball","B","77.0","CU","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193631,19.6086111111111,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193701","Foul","S","93.0","FF","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193701,19.6169444444444,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193730","Foul","S","86.4","SL","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193730,19.625,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193802","Foul","S","75.8","CU","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193802,19.6338888888889,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
10,"141021_193850","Hit By Pitch","B","87.7","SL","10","2","2",2,"003223","2014-10-22T00:32:23Z","456715","518516","Lorenzo Cain hit by pitch.  ","Hit By Pitch",NA,NA,NA,NA,NA,NA,NA,3223,0.539722222222222,2,0,3,193850,19.6472222222222,"bottom","1",19.5872222222222,19.6472222222222,-3,"-3 FALSE FALSE FALSE 2 bottom 1",0.4,1
11,"141021_193943","Foul Tip","S","92.9","FF","11","1","1",3,"003641","2014-10-22T00:36:41Z","543333","518516","Eric Hosmer lines out to center fielder Gregor Blanco.  ","Lineout",456715,NA,NA,NA,NA,NA,NA,3641,0.611388888888889,2,0,3,193943,19.6619444444444,"bottom","1",19.6619444444444,19.6894444444444,-3,"-3 TRUE FALSE FALSE 2 bottom 1",0.7,1
11,"141021_194011","Ball","B","94.2","FF","11","1","1",3,"003641","2014-10-22T00:36:41Z","543333","518516","Eric Hosmer lines out to center fielder Gregor Blanco.  ","Lineout",456715,NA,NA,NA,NA,NA,NA,3641,0.611388888888889,2,0,3,194011,19.6697222222222,"bottom","1",19.6619444444444,19.6894444444444,-3,"-3 TRUE FALSE FALSE 2 bottom 1",0.7,1
11,"141021_194122","In play, out(s)","X","93.9","FF","11","1","1",3,"003641","2014-10-22T00:36:41Z","543333","518516","Eric Hosmer lines out to center fielder Gregor Blanco.  ","Lineout",456715,NA,NA,NA,NA,NA,NA,3641,0.611388888888889,2,0,3,194122,19.6894444444444,"bottom","1",19.6619444444444,19.6894444444444,-3,"-3 TRUE FALSE FALSE 2 bottom 1",0.7,1
12,"141021_194447","In play, out(s)","X","92.2","FT","12","0","0",1,"004157","2014-10-22T00:41:57Z","448170","448306","Travis Ishikawa grounds out, first baseman Eric Hosmer to pitcher James Shields.  ","Groundout",NA,NA,NA,NA,NA,NA,NA,4157,0.699166666666667,0,0,3,194447,19.7463888888889,"top","2",19.7463888888889,19.7463888888889,-3,"-3 FALSE FALSE FALSE 0 top 2",0.6,1
13,"141021_194534","Ball","B","90.6","FF","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194534,19.7594444444444,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
13,"141021_194553","Called Strike","S","90.9","FT","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194553,19.7647222222222,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
13,"141021_194617","Ball","B","80.0","KC","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194617,19.7713888888889,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
13,"141021_194648","Foul","S","92.2","FF","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194648,19.78,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
13,"141021_194716","Foul","S","87.0","FC","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194716,19.7877777777778,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
13,"141021_194741","Foul","S","91.1","FT","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194741,19.7947222222222,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
13,"141021_194804","In play, out(s)","X","90.4","FT","13","2","2",2,"004234","2014-10-22T00:42:34Z","543063","448306","Brandon Crawford lines out to right fielder Nori Aoki.  ","Lineout",NA,NA,NA,NA,NA,NA,NA,4234,0.709444444444444,1,0,3,194804,19.8011111111111,"top","2",19.7594444444444,19.8011111111111,-3,"-3 FALSE FALSE FALSE 1 top 2",0.4,1
14,"141021_194853","Called Strike","S","92.4","FF","14","2","2",3,"004551","2014-10-22T00:45:51Z","453923","448306","Gregor Blanco flies out to center fielder Lorenzo Cain.  ","Flyout",NA,NA,NA,NA,NA,NA,NA,4551,0.764166666666667,2,0,3,194853,19.8147222222222,"top","2",19.8147222222222,19.8394444444444,-3,"-3 FALSE FALSE FALSE 2 top 2",0.3,1
14,"141021_194913","Ball","B","87.9","FC","14","2","2",3,"004551","2014-10-22T00:45:51Z","453923","448306","Gregor Blanco flies out to center fielder Lorenzo Cain.  ","Flyout",NA,NA,NA,NA,NA,NA,NA,4551,0.764166666666667,2,0,3,194913,19.8202777777778,"top","2",19.8147222222222,19.8394444444444,-3,"-3 FALSE FALSE FALSE 2 top 2",0.3,1
14,"141021_194930","Ball","B","86.1","FC","14","2","2",3,"004551","2014-10-22T00:45:51Z","453923","448306","Gregor Blanco flies out to center fielder Lorenzo Cain.  ","Flyout",NA,NA,NA,NA,NA,NA,NA,4551,0.764166666666667,2,0,3,194930,19.825,"top","2",19.8147222222222,19.8394444444444,-3,"-3 FALSE FALSE FALSE 2 top 2",0.3,1
14,"141021_194957","Foul","S","92.7","FF","14","2","2",3,"004551","2014-10-22T00:45:51Z","453923","448306","Gregor Blanco flies out to center fielder Lorenzo Cain.  ","Flyout",NA,NA,NA,NA,NA,NA,NA,4551,0.764166666666667,2,0,3,194957,19.8325,"top","2",19.8147222222222,19.8394444444444,-3,"-3 FALSE FALSE FALSE 2 top 2",0.3,1
14,"141021_195022","In play, out(s)","X","91.0","FT","14","2","2",3,"004551","2014-10-22T00:45:51Z","453923","448306","Gregor Blanco flies out to center fielder Lorenzo Cain.  ","Flyout",NA,NA,NA,NA,NA,NA,NA,4551,0.764166666666667,2,0,3,195022,19.8394444444444,"top","2",19.8147222222222,19.8394444444444,-3,"-3 FALSE FALSE FALSE 2 top 2",0.3,1
15,"141021_195348","Called Strike","S","86.3","SL","15","2","2",0,"005045","2014-10-22T00:50:45Z","456714","518516","Billy Butler singles on a line drive to center fielder Gregor Blanco.  ","Single",NA,NA,NA,NA,NA,NA,NA,5045,0.845833333333333,0,0,3,195348,19.8966666666667,"bottom","2",19.8966666666667,19.9325,-3,"-3 FALSE FALSE FALSE 0 bottom 2",0.9,1
15,"141021_195408","Called Strike","S","75.6","CU","15","2","2",0,"005045","2014-10-22T00:50:45Z","456714","518516","Billy Butler singles on a line drive to center fielder Gregor Blanco.  ","Single",NA,NA,NA,NA,NA,NA,NA,5045,0.845833333333333,0,0,3,195408,19.9022222222222,"bottom","2",19.8966666666667,19.9325,-3,"-3 FALSE FALSE FALSE 0 bottom 2",0.9,1
15,"141021_195430","Ball","B","75.9","CU","15","2","2",0,"005045","2014-10-22T00:50:45Z","456714","518516","Billy Butler singles on a line drive to center fielder Gregor Blanco.  ","Single",NA,NA,NA,NA,NA,NA,NA,5045,0.845833333333333,0,0,3,195430,19.9083333333333,"bottom","2",19.8966666666667,19.9325,-3,"-3 FALSE FALSE FALSE 0 bottom 2",0.9,1
15,"141021_195450","Ball","B","76.2","CU","15","2","2",0,"005045","2014-10-22T00:50:45Z","456714","518516","Billy Butler singles on a line drive to center fielder Gregor Blanco.  ","Single",NA,NA,NA,NA,NA,NA,NA,5045,0.845833333333333,0,0,3,195450,19.9138888888889,"bottom","2",19.8966666666667,19.9325,-3,"-3 FALSE FALSE FALSE 0 bottom 2",0.9,1
15,"141021_195520","Foul","S","93.4","FF","15","2","2",0,"005045","2014-10-22T00:50:45Z","456714","518516","Billy Butler singles on a line drive to center fielder Gregor Blanco.  ","Single",NA,NA,NA,NA,NA,NA,NA,5045,0.845833333333333,0,0,3,195520,19.9222222222222,"bottom","2",19.8966666666667,19.9325,-3,"-3 FALSE FALSE FALSE 0 bottom 2",0.9,1
15,"141021_195557","In play, no out","X","87.5","SL","15","2","2",0,"005045","2014-10-22T00:50:45Z","456714","518516","Billy Butler singles on a line drive to center fielder Gregor Blanco.  ","Single",NA,NA,NA,NA,NA,NA,NA,5045,0.845833333333333,0,0,3,195557,19.9325,"bottom","2",19.8966666666667,19.9325,-3,"-3 FALSE FALSE FALSE 0 bottom 2",0.9,1
16,"141021_195650","Ball","B","93.2","FF","16","2","1",1,"005349","2014-10-22T00:53:49Z","460086","518516","Alex Gordon lines out softly to shortstop Brandon Crawford.  ","Lineout",456714,NA,NA,NA,NA,NA,NA,5349,0.896944444444444,0,0,3,195650,19.9472222222222,"bottom","2",19.9472222222222,19.9669444444444,-3,"-3 TRUE FALSE FALSE 0 bottom 2",1.5,1
