pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
J Guthrie,B Crawford,1,1_3,0-2,Brandon Crawford hit a sacrifice fly to center (Fly). Hunter Pence scored.,1.82,1.13,0.303,0.019,0.08,top,2,7,12,12
J Guthrie,J Perez,2,1__,0-2,Juan Perez struck out swinging.,0.6,0.21,0.32,-0.016,-0.21,top,2,7,13,13
T Hudson,B Butler,0,___,0-2,Billy Butler singled to center (Grounder).,0.96,0.45,0.361,0.042,0.37,bottom,2,7,14,14
T Hudson,A Gordon,0,1__,2-Jan,Alex Gordon doubled to right (Fliner (Liner)). Billy Butler scored.,1.7,0.81,0.5,0.139,1.24,bottom,2,7,15,15
T Hudson,S Perez,0,_2_,2-Jan,Salvador Perez was hit by a pitch.,1.49,1.05,0.537,0.037,0.36,bottom,2,7,16,16
T Hudson,M Moustakas,0,12_,2-Jan,Mike Moustakas flied out to left (Fliner (Fly)). Alex Gordon advanced to 3B.,2.31,1.41,0.509,-0.028,-0.28,bottom,2,7,17,17
T Hudson,O Infante,1,1_3,2-Feb,Omar Infante hit a sacrifice fly to center (Fliner (Liner)). Alex Gordon scored.,2.23,1.13,0.523,0.014,0.08,bottom,2,7,18,18
T Hudson,A Escobar,2,1__,2-Feb,Alcides Escobar singled to left (Grounder). Salvador Perez advanced to 2B.,0.85,0.21,0.544,0.021,0.2,bottom,2,7,19,19
J Affeldt,N Aoki,2,12_,2-Feb,Nori Aoki reached on fielder's choice to shortstop (Grounder). Alcides Escobar out at second.,1.78,0.41,0.5,-0.044,-0.41,bottom,2,7,20,20
J Guthrie,G Blanco,0,___,2-Feb,Gregor Blanco grounded out to pitcher (Grounder).,0.99,0.45,0.524,-0.024,-0.21,top,3,7,21,21
J Guthrie,J Panik,1,___,2-Feb,Joe Panik struck out looking.,0.7,0.23,0.541,-0.017,-0.14,top,3,7,22,22
J Guthrie,B Posey,2,___,2-Feb,Buster Posey struck out swinging.,0.45,0.09,0.552,-0.011,-0.09,top,3,7,23,23
J Affeldt,L Cain,0,___,2-Feb,Lorenzo Cain singled to right (Liner).,0.99,0.45,0.593,0.04,0.37,bottom,3,7,24,24
J Affeldt,E Hosmer,0,1__,2-Feb,Eric Hosmer grounded into a double play to second (Grounder). Lorenzo Cain out at second.,1.67,0.81,0.511,-0.082,-0.72,bottom,3,7,25,25
J Affeldt,B Butler,2,___,2-Feb,Billy Butler grounded out to shortstop (Grounder).,0.46,0.09,0.5,-0.011,-0.09,bottom,3,7,26,26
J Guthrie,P Sandoval,0,___,2-Feb,Pablo Sandoval singled to second (Grounder).,1.08,0.45,0.456,0.044,0.37,top,4,7,27,27
J Guthrie,H Pence,0,1__,2-Feb,Hunter Pence singled to center (Fliner (Liner)). Pablo Sandoval advanced to 2B.,1.83,0.81,0.388,0.068,0.6,top,4,7,28,28
J Guthrie,B Belt,0,12_,2-Feb,Brandon Belt flied out to left (Fliner (Fly)). Pablo Sandoval advanced to 3B.,2.37,1.41,0.413,-0.026,-0.28,top,4,7,29,29
K Herrera,M Morse,1,1_3,3-Feb,Michael Morse singled to right (Fliner (Liner)). Pablo Sandoval scored. Hunter Pence advanced to 3B.,2.44,1.13,0.294,0.119,1,top,4,7,30,30
K Herrera,B Crawford,1,1_3,3-Feb,Brandon Crawford struck out looking.,1.99,1.13,0.362,-0.068,-0.67,top,4,7,31,31
K Herrera,J Perez,2,1_3,3-Feb,Juan Perez grounded out to shortstop (Grounder).,1.82,0.46,0.411,-0.049,-0.46,top,4,7,32,32
J Affeldt,A Gordon,0,___,3-Feb,Alex Gordon was hit by a pitch.,1.2,0.45,0.461,0.05,0.37,bottom,4,7,33,33
J Affeldt,S Perez,0,1__,3-Feb,Salvador Perez grounded into a double play to second (Grounder). Alex Gordon out at second.,2.07,0.81,0.361,-0.1,-0.72,bottom,4,7,34,34
J Affeldt,M Moustakas,2,___,3-Feb,Mike Moustakas grounded out to third (Grounder).,0.54,0.09,0.348,-0.014,-0.09,bottom,4,7,35,35
K Herrera,G Blanco,0,___,3-Feb,Gregor Blanco flied out to left (Fliner (Fly)).,0.9,0.45,0.37,-0.022,-0.21,top,5,7,36,36
K Herrera,J Panik,1,___,3-Feb,Joe Panik struck out swinging.,0.65,0.23,0.386,-0.016,-0.14,top,5,7,37,37
K Herrera,B Posey,2,___,3-Feb,Buster Posey struck out looking.,0.44,0.09,0.396,-0.011,-0.09,top,5,7,38,38
M Bumgarner,O Infante,0,___,3-Feb,Omar Infante singled to right (Fliner (Liner)).,1.36,0.45,0.453,0.057,0.37,bottom,5,7,39,39
M Bumgarner,A Escobar,0,1__,3-Feb,Alcides Escobar sacrificed to pitcher (Bunt Grounder). Omar Infante advanced to 2B.,2.32,0.81,0.428,-0.025,-0.18,bottom,5,7,40,40
M Bumgarner,N Aoki,1,_2_,3-Feb,Nori Aoki flied out to left (Fliner (Liner)).,1.97,0.63,0.375,-0.053,-0.33,bottom,5,7,41,41
M Bumgarner,L Cain,2,_2_,3-Feb,Lorenzo Cain struck out swinging.,1.84,0.3,0.324,-0.05,-0.3,bottom,5,7,42,42
K Herrera,P Sandoval,0,___,3-Feb,Pablo Sandoval singled to left (Liner).,0.92,0.45,0.288,0.037,0.37,top,6,7,43,43
K Herrera,H Pence,0,1__,3-Feb,Hunter Pence grounded into a double play to shortstop (Grounder). Pablo Sandoval out at second.,1.51,0.81,0.363,-0.075,-0.72,top,6,7,44,44
K Herrera,B Belt,2,___,3-Feb,Brandon Belt singled to right (Liner).,0.45,0.09,0.35,0.013,0.12,top,6,7,45,45
K Herrera,M Morse,2,1__,3-Feb,Michael Morse struck out looking.,0.87,0.21,0.374,-0.024,-0.21,top,6,7,46,46
M Bumgarner,E Hosmer,0,___,3-Feb,Eric Hosmer flied out to shortstop (Fly).,1.58,0.45,0.335,-0.039,-0.21,bottom,6,7,47,47
M Bumgarner,B Butler,1,___,3-Feb,Billy Butler flied out to center (Fly).,1.13,0.23,0.308,-0.027,-0.14,bottom,6,7,48,48
M Bumgarner,A Gordon,2,___,3-Feb,Alex Gordon flied out to center (Fliner (Fly)).,0.73,0.09,0.29,-0.018,-0.09,bottom,6,7,49,49
W Davis,B Crawford,0,___,3-Feb,Brandon Crawford struck out swinging.,0.91,0.45,0.312,-0.022,-0.21,top,7,7,50,50
W Davis,J Perez,1,___,3-Feb,Juan Perez struck out swinging.,0.66,0.23,0.328,-0.016,-0.14,top,7,7,51,51
W Davis,G Blanco,2,___,3-Feb,Gregor Blanco grounded out to shortstop (Grounder).,0.45,0.09,0.339,-0.011,-0.09,top,7,7,52,52
M Bumgarner,S Perez,0,___,3-Feb,Salvador Perez flied out to right (Fliner (Fly)).,1.91,0.45,0.292,-0.047,-0.21,bottom,7,7,53,53
M Bumgarner,M Moustakas,1,___,3-Feb,Mike Moustakas grounded out to third (Grounder).,1.37,0.23,0.259,-0.033,-0.14,bottom,7,7,54,54
M Bumgarner,O Infante,2,___,3-Feb,Omar Infante struck out swinging.,0.91,0.09,0.237,-0.023,-0.09,bottom,7,7,55,55
W Davis,J Panik,0,___,3-Feb,Joe Panik struck out looking.,0.82,0.45,0.257,-0.02,-0.21,top,8,7,56,56
W Davis,B Posey,1,___,3-Feb,Buster Posey grounded out to second (Grounder).,0.6,0.23,0.271,-0.014,-0.14,top,8,7,57,57
W Davis,P Sandoval,2,___,3-Feb,Pablo Sandoval doubled to left (Liner).,0.42,0.09,0.248,0.023,0.21,top,8,7,58,58
W Davis,H Pence,2,_2_,3-Feb,Hunter Pence grounded out to second (Grounder).,1.23,0.3,0.282,-0.034,-0.3,top,8,7,59,59
M Bumgarner,A Escobar,0,___,3-Feb,Alcides Escobar struck out swinging.,2.44,0.45,0.221,-0.06,-0.21,bottom,8,7,60,60
M Bumgarner,N Aoki,1,___,3-Feb,Nori Aoki grounded out to shortstop (Grounder).,1.78,0.23,0.179,-0.042,-0.14,bottom,8,7,61,61
M Bumgarner,L Cain,2,___,3-Feb,Lorenzo Cain flied out to second (Fly).,1.19,0.09,0.149,-0.03,-0.09,bottom,8,7,62,62
G Holland,B Belt,0,___,3-Feb,Brandon Belt grounded out to second (Grounder).,0.58,0.45,0.164,-0.014,-0.21,top,9,7,63,63
G Holland,M Morse,1,___,3-Feb,Michael Morse struck out swinging.,0.43,0.23,0.174,-0.01,-0.14,top,9,7,64,64
G Holland,B Crawford,2,___,3-Feb,Brandon Crawford struck out swinging.,0.3,0.09,0.181,-0.008,-0.09,top,9,7,65,65
M Bumgarner,E Hosmer,0,___,3-Feb,Eric Hosmer struck out swinging.,3.31,0.45,0.1,-0.082,-0.21,bottom,9,7,66,66
M Bumgarner,B Butler,1,___,3-Feb,Billy Butler fouled out to first (Fly).,2.44,0.23,0.041,-0.058,-0.14,bottom,9,7,67,67
M Bumgarner,A Gordon,2,___,3-Feb,Alex Gordon singled to left (Fliner (Liner)). Alex Gordon advanced to 3B on error. Error by Gregor Blanco.,1.66,0.09,0.152,0.11,0.25,bottom,9,7,68,68
M Bumgarner,S Perez,2,__3,3-Feb,Salvador Perez fouled out to third (Fly).,5.72,0.34,0,-0.152,-0.34,bottom,9,7,69,69
