pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
J Shields,G Blanco,0,___,Jan-00,Gregor Blanco flied out to left (Fliner (Fly)).,0.77,0.43,0.662,-0.019,-0.21,bottom,3,5,21,21
J Shields,J Panik,1,___,Jan-00,Joe Panik grounded out to shortstop (Grounder).,0.55,0.22,0.649,-0.013,-0.14,bottom,3,5,22,22
J Shields,B Posey,2,___,Jan-00,Buster Posey grounded out to second (Grounder).,0.37,0.09,0.64,-0.009,-0.09,bottom,3,5,23,23
M Bumgarner,L Cain,0,___,Jan-00,Lorenzo Cain grounded out to shortstop (Grounder).,1.15,0.43,0.667,-0.028,-0.21,top,4,5,24,24
M Bumgarner,E Hosmer,1,___,Jan-00,Eric Hosmer grounded out to third (Grounder).,0.79,0.22,0.686,-0.019,-0.14,top,4,5,25,25
M Bumgarner,S Perez,2,___,Jan-00,Salvador Perez grounded out to first (Grounder).,0.5,0.09,0.698,-0.012,-0.09,top,4,5,26,26
J Shields,P Sandoval,0,___,Jan-00,Pablo Sandoval singled to left (Grounder).,0.79,0.43,0.73,0.032,0.37,bottom,4,5,27,27
J Shields,H Pence,0,1__,Jan-00,Hunter Pence struck out swinging.,1.33,0.79,0.701,-0.029,-0.33,bottom,4,5,28,28
J Shields,B Belt,1,1__,Jan-00,Brandon Belt struck out swinging.,1.07,0.46,0.677,-0.024,-0.26,bottom,4,5,29,29
J Shields,T Ishikawa,2,1__,Jan-00,Travis Ishikawa singled to left (Grounder). Pablo Sandoval advanced to 2B.,0.75,0.2,0.694,0.018,0.2,bottom,4,5,30,30
J Shields,B Crawford,2,12_,Feb-00,Brandon Crawford singled to center (Fliner (Liner)). Pablo Sandoval scored. Travis Ishikawa advanced to 2B.,1.54,0.4,0.803,0.108,1,bottom,4,5,31,31
J Shields,M Bumgarner,2,12_,Feb-00,Madison Bumgarner struck out swinging.,1.05,0.4,0.777,-0.026,-0.4,bottom,4,5,32,32
M Bumgarner,M Moustakas,0,___,Feb-00,Mike Moustakas lined out to shortstop (Fliner (Liner)).,1.1,0.43,0.804,-0.027,-0.21,top,5,5,33,33
M Bumgarner,O Infante,1,___,Feb-00,Omar Infante doubled to center (Fliner (Liner)).,0.75,0.22,0.753,0.051,0.4,top,5,5,34,34
M Bumgarner,J Dyson,1,_2_,Feb-00,Jarrod Dyson struck out swinging.,1.6,0.62,0.795,-0.043,-0.33,top,5,5,35,35
M Bumgarner,J Shields,2,_2_,Feb-00,James Shields out on a dropped third strike.,1.34,0.29,0.832,-0.036,-0.29,top,5,5,36,36
J Shields,G Blanco,0,___,Feb-00,Gregor Blanco grounded out to second (Grounder).,0.5,0.43,0.82,-0.012,-0.21,bottom,5,5,37,37
J Shields,J Panik,1,___,Feb-00,Joe Panik singled to center (Grounder).,0.36,0.22,0.833,0.014,0.24,bottom,5,5,38,38
J Shields,B Posey,1,_2_,Feb-00,Buster Posey walked.,0.705,0.46,0.853,0.02,0.37,bottom,5,5,40,39
J Shields,P Sandoval,1,12_,Feb-00,Pablo Sandoval struck out swinging.,1.11,0.83,0.829,-0.024,-0.44,bottom,5,5,41,40
J Shields,H Pence,2,12_,Feb-00,Hunter Pence flied out to right (Fliner (Fly)).,0.98,0.4,0.805,-0.024,-0.4,bottom,5,5,42,41
M Bumgarner,A Escobar,0,___,Feb-00,Alcides Escobar fouled out to catcher (Fly).,1.18,0.43,0.834,-0.029,-0.21,top,6,5,43,42
M Bumgarner,A Gordon,1,___,Feb-00,Alex Gordon flied out to shortstop (Fly).,0.79,0.22,0.852,-0.019,-0.14,top,6,5,44,43
M Bumgarner,L Cain,2,___,Feb-00,Lorenzo Cain flied out to left (Fliner (Liner)).,0.45,0.09,0.864,-0.011,-0.09,top,6,5,45,44
J Shields,B Belt,0,___,Feb-00,Brandon Belt flied out to left (Fliner (Fly)).,0.44,0.43,0.853,-0.011,-0.21,bottom,6,5,46,45
J Shields,T Ishikawa,1,___,Feb-00,Travis Ishikawa singled to right (Liner).,0.32,0.22,0.865,0.012,0.24,bottom,6,5,47,46
J Shields,B Crawford,1,1__,Feb-00,Brandon Crawford grounded out to pitcher (Grounder). Juan Perez advanced to 2B.,0.59,0.46,0.858,-0.007,-0.17,bottom,6,5,48,47
J Shields,M Bumgarner,2,_2_,Feb-00,Madison Bumgarner flied out to third (Fly).,0.65,0.29,0.84,-0.018,-0.29,bottom,6,5,49,48
M Bumgarner,E Hosmer,0,___,Feb-00,Eric Hosmer singled to right (Grounder).,1.27,0.43,0.781,0.059,0.37,top,7,5,50,49
M Bumgarner,S Perez,0,1__,Feb-00,Salvador Perez flied out to left (Fliner (Fly)).,2.38,0.79,0.833,-0.052,-0.33,top,7,5,51,50
M Bumgarner,M Moustakas,1,1__,Feb-00,Mike Moustakas flied out to center (Fliner (Fly)).,1.74,0.46,0.873,-0.04,-0.26,top,7,5,52,51
M Bumgarner,O Infante,2,1__,Feb-00,Omar Infante grounded out to third (Grounder).,1.1,0.2,0.902,-0.03,-0.2,top,7,5,53,52
K Herrera,G Blanco,0,___,Feb-00,Gregor Blanco grounded out to first (Grounder).,0.34,0.43,0.894,-0.008,-0.21,bottom,7,5,54,53
K Herrera,J Panik,1,___,Feb-00,Joe Panik walked.,0.25,0.22,0.903,0.009,0.24,bottom,7,5,55,54
K Herrera,B Posey,1,1__,Feb-00,Buster Posey grounded into a double play to second (Grounder). Joe Panik out at second.,0.45,0.46,0.884,-0.019,-0.46,bottom,7,5,56,55
M Bumgarner,B Butler,0,___,Feb-00,Billy Butler struck out looking.,1.34,0.43,0.917,-0.033,-0.21,top,8,5,57,56
